threat_type,flee_status,armed_with,city,state,latitude,longitude,age,gender,race,was_mental_illness_related,body_camera,year,row_id,has_gun,has_knife,has_blunt_object,has_vehicle,has_replica,has_unarmed,has_other,race_std,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,share_missing
shoot,not,gun,canton,OH,Unknown/Missing,Unknown/Missing,33.0,male,B,False,False,2021,1258,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,not,gun,port salerno,FL,Unknown/Missing,Unknown/Missing,57.0,male,W,False,False,2021,1260,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,not,vehicle;gun,mount pleasant,TX,33.128779,-94.965902,46.0,male,W,False,False,2021,1261,1,0,0,1,0,0,0,W,1,0,0,0,0,0,0
shoot,not,gun,king george county,VA,38.3575624,-77.0317231,35.0,male,B,False,False,2021,1262,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,foot,gun,chicago,IL,41.810246,-87.6844725,18.0,male,B,True,False,2021,1263,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,not,gun,seaford,DE,38.6179128,-75.5500272,51.0,female,W,False,False,2021,1264,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
move,not,gun,calumet city,IL,Unknown/Missing,Unknown/Missing,26.0,male,B,False,False,2021,1265,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,not,gun,kansas city,MO,Unknown/Missing,Unknown/Missing,31.0,male,B,False,False,2021,1266,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
point,not,gun,st charles county,MO,38.7599843,-90.5187892,32.0,male,W,True,False,2021,1267,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
undetermined,nan,undetermined,virginia beach,VA,36.8474278,-75.9769842,25.0,male,B,False,False,2021,1268,0,0,0,0,0,0,1,B,0,1,0,0,0,0,0
shoot,foot,gun,weld county,CO,40.4928725,-104.564269,32.0,male,W,False,False,2021,1269,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,car,gun,quincy,MA,42.2427975,-71.0047542,36.0,male,W,False,False,2021,1270,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
move,not,knife,san antonio,TX,Unknown/Missing,Unknown/Missing,57.0,male,W,False,True,2021,1271,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,not,knife,hudson,FL,Unknown/Missing,Unknown/Missing,49.0,male,W,False,False,2021,1272,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,not,knife,lompoc,CA,34.6390329,-120.4578032,26.0,male,H,False,True,2021,1273,0,1,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,foot,gun,los angeles,CA,34.0508618,-118.2642017,38.0,male,B,False,False,2021,1274,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
move,foot,undetermined,chicago,IL,41.8499599,-87.707606,13.0,male,H,False,True,2021,1275,0,0,0,0,0,0,1,H,0,0,0,0,1,0,0
shoot,foot,gun,corpus christi,TX,27.7107628,-97.4066271,33.0,male,W,False,True,2021,1276,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
